sys_time,timestamp,duration,jbi_name,jbi_line,jbi_step,jbi_frame,jbi_tool,jbi_mode,jbi_status
2026-01-08T08:21:14.861573Z,2026-01-08T08:21:14.861573Z,116.7,WALL_SIDE_TO_SIDE_3,35,2,7,8,Play,Paused
2026-01-08T08:21:15.261573Z,2026-01-08T08:21:15.261573Z,116.7,WALL_SIDE_TO_SIDE_3,35,1,7,8,Play,Paused
2026-01-08T08:21:15.661573Z,2026-01-08T08:21:15.661573Z,116.7,WALL_SIDE_TO_SIDE_3,38,4,7,8,Play,Paused
2026-01-08T08:21:16.061573Z,2026-01-08T08:21:16.061573Z,116.7,WALL_SIDE_TO_SIDE_3,38,0,7,8,Play,Paused
2026-01-08T08:21:16.461573Z,2026-01-08T08:21:16.461573Z,116.7,WALL_SIDE_TO_SIDE_3,35,1,7,8,Play,Paused
2026-01-08T08:21:16.861573Z,2026-01-08T08:21:16.861573Z,116.7,WALL_SIDE_TO_SIDE_3,32,1,7,8,Play,Paused
2026-01-08T08:21:17.261573Z,2026-01-08T08:21:17.261573Z,116.7,WALL_SIDE_TO_SIDE_3,33,4,7,8,Play,Paused
2026-01-08T08:21:17.661573Z,2026-01-08T08:21:17.661573Z,116.7,WALL_SIDE_TO_SIDE_3,32,2,7,8,Play,Paused
2026-01-08T08:21:18.061573Z,2026-01-08T08:21:18.061573Z,116.7,WALL_SIDE_TO_SIDE_3,38,4,7,8,Play,Paused
2026-01-08T08:21:18.461573Z,2026-01-08T08:21:18.461573Z,116.7,WALL_SIDE_TO_SIDE_3,34,4,7,8,Play,Paused
2026-01-08T08:21:18.861573Z,2026-01-08T08:21:18.861573Z,116.7,WALL_SIDE_TO_SIDE_3,30,2,7,8,Play,Paused
2026-01-08T08:21:19.261573Z,2026-01-08T08:21:19.261573Z,116.7,WALL_SIDE_TO_SIDE_3,39,2,7,8,Play,Paused
